2,4,43,57,0.43,212
2,5,33,67,0.33,130
2,6,46,54,0.46,194
2,7,37,63,0.37,168
2,8,47,53,0.47,218
2,9,46,54,0.46,202
2,10,56,44,0.56,282
2,11,56,44,0.56,364
2,12,39,61,0.39,178
2,13,28,72,0.28,56
2,14,28,72,0.28,128
2,15,26,74,0.26,104
2,16,47,53,0.47,182
2,17,44,56,0.44,174
2,18,49,51,0.49,228
2,19,62,38,0.62,294
2,20,76,24,0.76,386
3,4,41,59,0.41,174
3,5,34,66,0.34,160
3,6,39,61,0.39,166
3,7,43,57,0.43,194
3,8,45,55,0.45,196
3,9,51,49,0.51,232
3,10,53,47,0.53,254
3,11,55,45,0.55,406
3,12,40,60,0.4,208
3,13,39,61,0.39,172
3,14,26,74,0.26,116
3,15,18,82,0.18,34
3,16,45,55,0.45,170
3,17,41,59,0.41,186
3,18,60,40,0.6,280
3,19,52,48,0.52,236
3,20,72,28,0.72,354
4,4,46,54,0.46,244
4,5,36,64,0.36,170
4,6,42,58,0.42,170
4,7,41,59,0.41,198
4,8,48,52,0.48,208
4,9,49,51,0.49,198
4,10,60,40,0.6,306
4,11,60,40,0.6,432
4,12,37,63,0.37,152
4,13,41,59,0.41,216
4,14,36,64,0.36,174
4,15,26,74,0.26,104
4,16,47,53,0.47,182
4,17,40,60,0.4,160
4,18,57,43,0.57,276
4,19,66,34,0.66,310
4,20,80,20,0.8,402
5,4,36,64,0.36,142
5,5,45,55,0.45,222
5,6,48,52,0.48,204
5,7,41,59,0.41,166
5,8,51,49,0.51,228
5,9,58,42,0.58,274
5,10,56,44,0.56,288
5,11,60,40,0.6,406
5,12,32,68,0.32,132
5,13,37,63,0.37,156
5,14,30,70,0.3,114
5,15,25,75,0.25,84
5,16,46,54,0.46,176
5,17,45,55,0.45,186
5,18,55,45,0.55,262
5,19,62,38,0.62,308
5,20,80,20,0.8,408
6,4,38,62,0.38,190
6,5,32,68,0.32,116
6,6,43,57,0.43,182
6,7,47,53,0.47,232
6,8,42,58,0.42,176
6,9,56,44,0.56,256
6,10,62,38,0.62,326
6,11,62,38,0.62,416
6,12,35,65,0.35,152
6,13,37,63,0.37,156
6,14,31,69,0.31,130
6,15,35,65,0.35,152
6,16,39,61,0.39,134
6,17,47,53,0.47,202
6,18,58,42,0.58,274
6,19,74,26,0.74,364
6,20,78,22,0.78,386
7,4,37,63,0.37,168
7,5,34,66,0.34,124
7,6,42,58,0.42,196
7,7,31,69,0.31,150
7,8,43,57,0.43,214
7,9,54,46,0.54,258
7,10,56,44,0.56,268
7,11,62,38,0.62,384
7,12,35,65,0.35,152
7,13,28,72,0.28,76
7,14,27,73,0.27,100
7,15,23,77,0.23,74
7,16,26,74,0.26,56
7,17,25,75,0.25,128
7,18,65,35,0.65,316
7,19,80,20,0.8,388
7,20,84,16,0.84,422
8,4,31,69,0.31,124
8,5,32,68,0.32,132
8,6,40,60,0.4,184
8,7,30,70,0.3,114
8,8,40,60,0.4,160
8,9,51,49,0.51,242
8,10,55,45,0.55,268
8,11,55,45,0.55,366
8,12,28,72,0.28,116
8,13,31,69,0.31,96
8,14,31,69,0.31,130
8,15,35,65,0.35,162
8,16,20
80,0.2,20
8,17,26,74
0.26,74
8,18,40,60,0.4,212
8,19,76,24,0.76,384
8,20,89,11,0.89,450
9,4,33,67,0.33,138
9,5,35,65,0.35,172
9,6,26,74,0.26,78
9,7,38,62,0.38,158
9,8,30,70,0.3,124
9,9,38,62,0.38,164
9,10,48,52,0.48,268
9,11,57,43,0.57,394
9,12,40,60,0.4,212
9,13,28,72,0.28,52
9,14,27,73,0.27,130
9,15,29,71,0.29,118
9,16,29,71,0.29,74
9,17,24,76,0.24,54
9,18,43,57,0.43,176
9,19,45,55,0.45,230
9,20,88,12,0.88,446
10,4,32,68,0.32,150
10,5,29,71,0.29,108
10,6,21,79,0.21,30
10,7,24,76,0.24,78
10,8,35,65,0.35,152
10,9,35,65,0.35,148
10,10,45,55,0.45,252
10,11,53,47,0.53,390
10,12,22,78,0.22,68
10,13,25,75,0.25,28
10,14,26,74,0.26,126
10,15,16,84,0.16,28
10,16,15,85,0.15,-10
10,17,16,84,0.16,12
10,18,36,64,0.36,130
10,19,48,52,0.48,202
10,20,56,44,0.56,302
11,4,32,68,0.32,132
11,5,31,69,0.31,130
11,6,30,70,0.3,124
11,7,28,72,0.28,108
11,8,22,78,0.22,66
11,9,37,63,0.37,142
11,10,37,63,0.37,168
11,11,42,58,0.42,326
11,12,23,77,0.23,74
11,13,26,74,0.26,44
11,14,26,74,0.26,84
11,15,10,90,0.1,-12
11,16,29,71,0.29,74
11,17,27,73,0.27,74
11,18,46,54,0.46,190
11,19,41,59,0.41,162
11,20,52,48,0.52,228
